case_no,case_type,question_no,question,c_option,script_file,video_file_name,output_relative_path,status,source,role,tts_speed,raw_video_path,deliverable_video_path,actual_duration_seconds,video_codec,audio_codec,resolution,remark
1,直播艺人经纪,1,您主张双方存在主播/艺人经纪合作关系，请问双方是否形成了相应的合同或合作文件？,没有书面、电子或其他可核验的合同/合作文件，仅能说明曾有口头沟通或单方理解。,执行资料/正式脚本_反馈合并版/01_直播艺人经纪/q1_c.txt,01_直播艺人经纪_Q1_C.mp4,videos/final/01_直播艺人经纪/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/01_直播艺人经纪/q1_c.mp4,videos/deliverable/01_直播艺人经纪/q1_c.mp4,38.00,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
1,直播艺人经纪,2,合同签订后，经纪机构是否实际启动了运营/孵化/演艺安排工作？,合同签订后经纪机构未实际开展任何运营、推广或演艺安排，几乎没有实质性履约行动。,执行资料/正式脚本_反馈合并版/01_直播艺人经纪/q2_c.txt,01_直播艺人经纪_Q2_C.mp4,videos/final/01_直播艺人经纪/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/01_直播艺人经纪/q2_c.mp4,videos/deliverable/01_直播艺人经纪/q2_c.mp4,32.92,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
1,直播艺人经纪,3,您主张对方构成违约，具体违约事实是什么？,无法明确指出对方违反了哪项具体约定，主要是对分成结果、经纪效果或合作体验不满意。,执行资料/正式脚本_反馈合并版/01_直播艺人经纪/q3_c.txt,01_直播艺人经纪_Q3_C.mp4,videos/final/01_直播艺人经纪/q3_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/01_直播艺人经纪/q3_c.mp4,videos/deliverable/01_直播艺人经纪/q3_c.mp4,40.32,h264,aac,1080x1920,按第01批校对稿重跑；修正经纪效果固定搭配断行；语速1.0；已叠加广仲logo。
1,直播艺人经纪,4,关于您主张的金额，是否有清晰的计算依据和证据支撑？,缺少关键证据，金额主要来自单方估算，难以证明具体损失或应付/应退金额。,执行资料/正式脚本_反馈合并版/01_直播艺人经纪/q4_c.txt,01_直播艺人经纪_Q4_C.mp4,videos/final/01_直播艺人经纪/q4_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/01_直播艺人经纪/q4_c.mp4,videos/deliverable/01_直播艺人经纪/q4_c.mp4,38.87,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
2,电商代运营,1,您主张双方存在电商代运营关系，请问双方是否形成了相应的合同或合作文件？,没有书面、电子或其他可核验的合同/合作文件，仅能说明曾有口头沟通或单方理解。,执行资料/正式脚本_反馈合并版/02_电商代运营/q1_c.txt,02_电商代运营_Q1_C.mp4,videos/final/02_电商代运营/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/02_电商代运营/q1_c.mp4,videos/deliverable/02_电商代运营/q1_c.mp4,40.23,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
2,电商代运营,2,合同签订后，代运营方是否实际开始了店铺运营工作？,合同签订后代运营方未实际接手店铺或开展运营，无任何可查证的运营行为。,执行资料/正式脚本_反馈合并版/02_电商代运营/q2_c.txt,02_电商代运营_Q2_C.mp4,videos/final/02_电商代运营/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/02_电商代运营/q2_c.mp4,videos/deliverable/02_电商代运营/q2_c.mp4,38.23,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
2,电商代运营,3,您主张对方构成违约，具体违约事实是什么？,无法明确指出对方违反了哪项具体约定，主要是对销售业绩或运营结果不满意。,执行资料/正式脚本_反馈合并版/02_电商代运营/q3_c.txt,02_电商代运营_Q3_C.mp4,videos/final/02_电商代运营/q3_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/02_电商代运营/q3_c.mp4,videos/deliverable/02_电商代运营/q3_c.mp4,37.12,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
2,电商代运营,4,关于您主张的金额，是否有清晰的计算依据和证据支撑？,缺少关键证据，金额主要来自单方估算，难以证明具体损失或应退金额。,执行资料/正式脚本_反馈合并版/02_电商代运营/q4_c.txt,02_电商代运营_Q4_C.mp4,videos/final/02_电商代运营/q4_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/02_电商代运营/q4_c.mp4,videos/deliverable/02_电商代运营/q4_c.mp4,38.78,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
3,游戏网络服务,1,您主张双方存在游戏网络服务关系，请问双方是否形成了相应的合同或合作文件？,没有任何书面或电子凭证，仅能说明曾有口头沟通，充值或交付行为无法核实。,执行资料/正式脚本_反馈合并版/03_游戏网络服务/q1_c.txt,03_游戏网络服务_Q1_C.mp4,videos/final/03_游戏网络服务/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/03_游戏网络服务/q1_c.mp4,videos/deliverable/03_游戏网络服务/q1_c.mp4,43.11,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
3,游戏网络服务,2,双方对游戏网络服务的关键条款是否约定清楚？,未约定服务的具体内容、账号归属或退款条件，双方对核心权利义务均无明确书面约定。,执行资料/正式脚本_反馈合并版/03_游戏网络服务/q2_c.txt,03_游戏网络服务_Q2_C.mp4,videos/final/03_游戏网络服务/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/03_游戏网络服务/q2_c.mp4,videos/deliverable/03_游戏网络服务/q2_c.mp4,44.71,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
3,游戏网络服务,3,合同签订后，网络服务/账号/授权是否实际交付并开始使用？,合同签订后服务/账号从未实际交付或开通，始终处于待激活或无法使用状态。,执行资料/正式脚本_反馈合并版/03_游戏网络服务/q3_c.txt,03_游戏网络服务_Q3_C.mp4,videos/final/03_游戏网络服务/q3_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/03_游戏网络服务/q3_c.mp4,videos/deliverable/03_游戏网络服务/q3_c.mp4,43.99,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
3,游戏网络服务,4,您主张对方构成违约，具体违约事实是什么？,无法明确指出对方违反了哪项具体约定，主要是对游戏体验或虚拟权益效果不满意。,执行资料/正式脚本_反馈合并版/03_游戏网络服务/q4_c.txt,03_游戏网络服务_Q4_C.mp4,videos/final/03_游戏网络服务/q4_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/03_游戏网络服务/q4_c.mp4,videos/deliverable/03_游戏网络服务/q4_c.mp4,40.80,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
3,游戏网络服务,5,关于您主张的金额，是否有清晰的计算依据和证据支撑？,缺少关键证据，金额主要来自单方估算，难以证明具体损失或应退金额。,执行资料/正式脚本_反馈合并版/03_游戏网络服务/q5_c.txt,03_游戏网络服务_Q5_C.mp4,videos/final/03_游戏网络服务/q5_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/03_游戏网络服务/q5_c.mp4,videos/deliverable/03_游戏网络服务/q5_c.mp4,40.43,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
4,建材供应,1,您主张双方存在建材供应关系，请问双方是否形成了相应的合同或合作文件？,没有任何书面或电子凭证，仅能说明曾有口头商谈，供货数量和价格均无可核验依据。,执行资料/正式脚本_反馈合并版/04_建材供应/q1_c.txt,04_建材供应_Q1_C.mp4,videos/final/04_建材供应/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女2_雅瑛-知性,1.0,videos/final/04_建材供应/q1_c.mp4,videos/deliverable/04_建材供应/q1_c.mp4,39.36,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
4,建材供应,2,双方对建材供应的关键条款是否约定清楚？,未约定材料品种规格、验收标准或货款支付条件，双方对供货的核心权利义务均无明确书面约定。,执行资料/正式脚本_反馈合并版/04_建材供应/q2_c.txt,04_建材供应_Q2_C.mp4,videos/final/04_建材供应/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女2_雅瑛-知性,1.0,videos/final/04_建材供应/q2_c.mp4,videos/deliverable/04_建材供应/q2_c.mp4,42.56,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
4,建材供应,3,合同签订后，建材实际发货/交付情况如何？,合同签订后供应方未实际发货，建材从未到达工地或指定收货地点。,执行资料/正式脚本_反馈合并版/04_建材供应/q3_c.txt,04_建材供应_Q3_C.mp4,videos/final/04_建材供应/q3_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女2_雅瑛-知性,1.0,videos/final/04_建材供应/q3_c.mp4,videos/deliverable/04_建材供应/q3_c.mp4,39.04,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
4,建材供应,4,您主张对方构成违约，具体违约事实是什么？,无法明确指出对方违反了哪项具体约定，主要是对材料价格或结算金额有异议。,执行资料/正式脚本_反馈合并版/04_建材供应/q4_c.txt,04_建材供应_Q4_C.mp4,videos/final/04_建材供应/q4_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女2_雅瑛-知性,1.0,videos/final/04_建材供应/q4_c.mp4,videos/deliverable/04_建材供应/q4_c.mp4,40.47,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
4,建材供应,5,关于您主张的货款金额，是否有清晰的计算依据和证据支撑？,缺少签收或对账凭证，货款金额主要来自单方统计，难以证明已实际供货数量和应付总额。,执行资料/正式脚本_反馈合并版/04_建材供应/q5_c.txt,04_建材供应_Q5_C.mp4,videos/final/04_建材供应/q5_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女2_雅瑛-知性,1.0,videos/final/04_建材供应/q5_c.mp4,videos/deliverable/04_建材供应/q5_c.mp4,40.87,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
5,工程专业服务,1,您主张双方存在工程专业服务关系，请问双方是否形成了相应的合同或合作文件？,没有书面或电子合同，仅能说明曾有口头委托，服务范围和报酬均无可核验依据。,执行资料/正式脚本_反馈合并版/05_工程专业服务/q1_c.txt,05_工程专业服务_Q1_C.mp4,videos/final/05_工程专业服务/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/05_工程专业服务/q1_c.mp4,videos/deliverable/05_工程专业服务/q1_c.mp4,39.10,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
5,工程专业服务,2,双方对工程专业服务的关键条款是否约定清楚？,未约定具体服务内容、成果交付标准或报酬支付条件，双方对核心权利义务均无明确书面约定。,执行资料/正式脚本_反馈合并版/05_工程专业服务/q2_c.txt,05_工程专业服务_Q2_C.mp4,videos/final/05_工程专业服务/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/05_工程专业服务/q2_c.mp4,videos/deliverable/05_工程专业服务/q2_c.mp4,40.00,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
5,工程专业服务,3,合同签订后，专业服务（勘察/设计/监理等）是否实际启动？,合同签订后专业服务方未实际进场或启动工作，无任何可验证的服务行为。,执行资料/正式脚本_反馈合并版/05_工程专业服务/q3_c.txt,05_工程专业服务_Q3_C.mp4,videos/final/05_工程专业服务/q3_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/05_工程专业服务/q3_c.mp4,videos/deliverable/05_工程专业服务/q3_c.mp4,36.80,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
5,工程专业服务,4,您主张对方构成违约，具体违约事实是什么？,无法明确指出对方违反了哪项具体约定，主要是对服务效果或成果应用结果不满意。,执行资料/正式脚本_反馈合并版/05_工程专业服务/q4_c.txt,05_工程专业服务_Q4_C.mp4,videos/final/05_工程专业服务/q4_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/05_工程专业服务/q4_c.mp4,videos/deliverable/05_工程专业服务/q4_c.mp4,35.90,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
5,工程专业服务,5,关于您主张的服务费金额，是否有清晰的计算依据和证据支撑？,缺少成果交付或服务完成的证明材料，服务费金额主要来自单方主张，难以核实已完成工作量。,执行资料/正式脚本_反馈合并版/05_工程专业服务/q5_c.txt,05_工程专业服务_Q5_C.mp4,videos/final/05_工程专业服务/q5_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/05_工程专业服务/q5_c.mp4,videos/deliverable/05_工程专业服务/q5_c.mp4,40.00,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
6,工程设备租赁,1,您主张双方存在工程设备租赁关系，请问双方是否形成了相应的合同或合作文件？,没有书面或电子合同，仅能说明曾有口头约定，设备租期和租金均无可核验依据。,执行资料/正式脚本_反馈合并版/06_工程设备租赁/q1_c.txt,06_工程设备租赁_Q1_C.mp4,videos/final/06_工程设备租赁/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/06_工程设备租赁/q1_c.mp4,videos/deliverable/06_工程设备租赁/q1_c.mp4,44.71,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
6,工程设备租赁,2,双方对工程设备租赁的关键条款是否约定清楚？,未约定设备型号、租期计算方式或损耗赔偿条款，双方对核心权利义务均无明确书面约定。,执行资料/正式脚本_反馈合并版/06_工程设备租赁/q2_c.txt,06_工程设备租赁_Q2_C.mp4,videos/final/06_工程设备租赁/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/06_工程设备租赁/q2_c.mp4,videos/deliverable/06_工程设备租赁/q2_c.mp4,45.91,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
6,工程设备租赁,3,合同签订后，租赁设备是否实际交付并投入使用？,合同签订后设备从未实际交付到场，始终处于未到位状态。,执行资料/正式脚本_反馈合并版/06_工程设备租赁/q3_c.txt,06_工程设备租赁_Q3_C.mp4,videos/final/06_工程设备租赁/q3_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/06_工程设备租赁/q3_c.mp4,videos/deliverable/06_工程设备租赁/q3_c.mp4,44.22,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
6,工程设备租赁,4,您主张对方构成违约，具体违约事实是什么？,无法明确指出对方违反了哪项具体约定，主要是对租金计算方式或设备折旧认定有异议。,执行资料/正式脚本_反馈合并版/06_工程设备租赁/q4_c.txt,06_工程设备租赁_Q4_C.mp4,videos/final/06_工程设备租赁/q4_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/06_工程设备租赁/q4_c.mp4,videos/deliverable/06_工程设备租赁/q4_c.mp4,43.90,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
6,工程设备租赁,5,关于您主张的租金或赔偿金额，是否有清晰的计算依据和证据支撑？,缺少台班记录或损耗凭证，租金或赔偿金额主要来自单方统计，难以核实。,执行资料/正式脚本_反馈合并版/06_工程设备租赁/q5_c.txt,06_工程设备租赁_Q5_C.mp4,videos/final/06_工程设备租赁/q5_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女1_婉玟-商务,1.0,videos/final/06_工程设备租赁/q5_c.mp4,videos/deliverable/06_工程设备租赁/q5_c.mp4,41.66,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
7,商业装修工程,1,您主张双方存在商业装修工程关系，请问双方是否形成了相应的合同或合作文件？,没有书面或电子合同，仅能说明曾有口头约定，装修范围和价格均无可核验依据。,执行资料/正式脚本_反馈合并版/07_商业装修工程/q1_c.txt,07_商业装修工程_Q1_C.mp4,videos/final/07_商业装修工程/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/07_商业装修工程/q1_c.mp4,videos/deliverable/07_商业装修工程/q1_c.mp4,38.42,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
7,商业装修工程,2,双方对商业装修工程的关键条款是否约定清楚？,未约定装修范围图纸、材料标准或付款节点，双方对工程核心权利义务均无明确书面约定。,执行资料/正式脚本_反馈合并版/07_商业装修工程/q2_c.txt,07_商业装修工程_Q2_C.mp4,videos/final/07_商业装修工程/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/07_商业装修工程/q2_c.mp4,videos/deliverable/07_商业装修工程/q2_c.mp4,40.92,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
7,商业装修工程,3,合同签订后，装修工程实际进场施工情况如何？,合同签订后装修方未实际进场施工，工地始终处于未开工状态。,执行资料/正式脚本_反馈合并版/07_商业装修工程/q3_c.txt,07_商业装修工程_Q3_C.mp4,videos/final/07_商业装修工程/q3_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/07_商业装修工程/q3_c.mp4,videos/deliverable/07_商业装修工程/q3_c.mp4,37.14,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
7,商业装修工程,4,您主张对方构成违约，具体违约事实是什么？,无法明确指出对方违反了哪项具体约定，主要是对装修效果或最终结算金额有异议。,执行资料/正式脚本_反馈合并版/07_商业装修工程/q4_c.txt,07_商业装修工程_Q4_C.mp4,videos/final/07_商业装修工程/q4_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/07_商业装修工程/q4_c.mp4,videos/deliverable/07_商业装修工程/q4_c.mp4,41.92,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
7,商业装修工程,5,关于您主张的工程款金额，是否有清晰的计算依据和证据支撑？,缺少验收记录或增减项凭证，工程款金额主要来自单方统计，难以核实已完成工程量。,执行资料/正式脚本_反馈合并版/07_商业装修工程/q5_c.txt,07_商业装修工程_Q5_C.mp4,videos/final/07_商业装修工程/q5_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男2_王浩-正式,1.0,videos/final/07_商业装修工程/q5_c.mp4,videos/deliverable/07_商业装修工程/q5_c.mp4,39.91,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
8,园林绿化工程,1,您主张双方存在园林绿化工程关系，请问双方是否形成了相应的合同或合作文件？,没有书面或电子合同，仅能说明曾有口头约定，种植范围和价格均无可核验依据。,执行资料/正式脚本_反馈合并版/08_园林绿化工程/q1_c.txt,08_园林绿化工程_Q1_C.mp4,videos/final/08_园林绿化工程/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女2_雅瑛-知性,1.0,videos/final/08_园林绿化工程/q1_c.mp4,videos/deliverable/08_园林绿化工程/q1_c.mp4,40.32,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
8,园林绿化工程,2,双方对园林绿化工程的关键条款是否约定清楚？,未约定绿化品种规格、成活率标准或养护周期，双方对工程核心权利义务均无明确书面约定。,执行资料/正式脚本_反馈合并版/08_园林绿化工程/q2_c.txt,08_园林绿化工程_Q2_C.mp4,videos/final/08_园林绿化工程/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女2_雅瑛-知性,1.0,videos/final/08_园林绿化工程/q2_c.mp4,videos/deliverable/08_园林绿化工程/q2_c.mp4,41.43,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
8,园林绿化工程,3,合同签订后，绿化工程是否实际进场施工？,合同签订后施工方未实际进场，绿化工程始终处于未开工状态。,执行资料/正式脚本_反馈合并版/08_园林绿化工程/q3_c.txt,08_园林绿化工程_Q3_C.mp4,videos/final/08_园林绿化工程/q3_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女2_雅瑛-知性,1.0,videos/final/08_园林绿化工程/q3_c.mp4,videos/deliverable/08_园林绿化工程/q3_c.mp4,36.76,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
8,园林绿化工程,4,您主张对方构成违约，具体违约事实是什么？,无法明确指出对方违反了哪项具体约定，主要是对绿化效果或最终结算金额有异议。,执行资料/正式脚本_反馈合并版/08_园林绿化工程/q4_c.txt,08_园林绿化工程_Q4_C.mp4,videos/final/08_园林绿化工程/q4_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女2_雅瑛-知性,1.0,videos/final/08_园林绿化工程/q4_c.mp4,videos/deliverable/08_园林绿化工程/q4_c.mp4,38.00,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
8,园林绿化工程,5,关于您主张的工程款或养护费金额，是否有清晰的计算依据和证据支撑？,缺少验收记录或养护日志，款项金额主要来自单方统计，难以核实已完成工程量。,执行资料/正式脚本_反馈合并版/08_园林绿化工程/q5_c.txt,08_园林绿化工程_Q5_C.mp4,videos/final/08_园林绿化工程/q5_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,女2_雅瑛-知性,1.0,videos/final/08_园林绿化工程/q5_c.mp4,videos/deliverable/08_园林绿化工程/q5_c.mp4,40.15,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
9,住宅装修工程,1,您主张双方存在住宅装修工程关系，请问双方是否形成了相应的合同或合作文件？,没有书面或电子合同，仅能说明曾有口头约定，装修范围和价格均无可核验依据。,执行资料/正式脚本_反馈合并版/09_住宅装修工程/q1_c.txt,09_住宅装修工程_Q1_C.mp4,videos/final/09_住宅装修工程/q1_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/09_住宅装修工程/q1_c.mp4,videos/deliverable/09_住宅装修工程/q1_c.mp4,43.20,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
9,住宅装修工程,2,双方对住宅装修工程的关键条款是否约定清楚？,未约定装修方案图纸、材料标准或付款节点，双方对工程核心权利义务均无明确书面约定。,执行资料/正式脚本_反馈合并版/09_住宅装修工程/q2_c.txt,09_住宅装修工程_Q2_C.mp4,videos/final/09_住宅装修工程/q2_c.mp4,质检通过,文档/游戏化立案项目视频文案题库_反馈合并版.md,男1_浩南-商务,1.0,videos/final/09_住宅装修工程/q2_c.mp4,videos/deliverable/09_住宅装修工程/q2_c.mp4,44.31,h264,aac,1080x1920,按第01批校对稿重跑；语速1.0；已叠加广仲logo；字幕按校对稿预断句。
